ticks,road-section,number-of-cars,mean-speed
14,0,8,0.4725
14,32,5,0
14,34,2,0.9
14,45,7,0.6531428571428571
14,22,2,0.549
14,75,5,0.54
14,86,1,0.9
14,49,6,0.399
14,12,4,0.225
14,55,1,0
14,89,1,0.9
14,16,3,0
14,39,7,0.3407142857142857
14,6,1,0.9
14,51,2,0
14,20,4,0.45
14,3,4,0.47475
14,73,2,0.594
14,35,8,0.162
14,27,5,0.36
14,64,2,0.9495
14,5,3,0.963
15,1,7,0.8421428571428571
15,44,3,0
15,9,3,0.798
15,8,6,0
15,47,6,0.1665
15,50,2,0.9495
15,17,5,0.999
15,60,6,0.066
15,29,5,0.9972
15,41,6,0.9314999999999999
15,2,2,0.999
15,69,1,0.999
15,18,4,0.999
15,76,3,0.333
15,13,2,0.34650000000000003
15,78,5,0.5184
15,11,5,0
15,40,3,0
15,26,1,0.999
15,58,5,0.8586
15,21,2,0.999
15,56,5,0.1998
15,57,1,0
15,82,4,0.5715
15,43,3,0
15,15,1,0.999
15,4,2,0.999
15,54,9,0.518
15,14,1,0.8909999999999999
15,59,6,0.333
15,79,1,0
15,23,7,0.2854285714285714
15,19,5,0.5993999999999999
15,0,7,0.5258571428571429
15,32,5,0
15,34,2,0.999
15,45,6,0.7274999999999999
15,22,1,0.999
15,75,5,0.3996
15,86,1,0.999
15,49,6,0.2985
15,12,4,0
15,55,1,0
15,89,1,0.999
15,16,3,0
15,39,7,0.24171428571428571
15,6,1,0.999
15,51,3,0.333
15,20,4,0.24975
15,3,4,0.47475
15,73,2,0.5985
15,35,8,0.18675
15,27,5,0.3996
15,64,1,0.9
15,5,2,0.9495
16,1,7,0.7997142857142858
16,44,3,0
16,9,3,0.831
16,8,6,0
16,47,6,0.15
16,50,3,0.798
16,17,5,0.9
16,60,6,0.0825
16,29,4,0.9
16,41,6,0.8655
16,2,2,0.9
16,18,4,0.9
16,76,3,0.3
16,13,1,0.29700000000000004
16,78,5,0.3798
16,11,5,0
16,40,3,0
16,26,1,0.9
16,58,5,0.6786000000000001
16,21,2,0.45
16,56,5,0.18
16,57,1,0.099
16,82,4,0.6975
16,43,3,0
16,15,1,0.9
16,4,2,0.9
16,54,8,0.559125
16,14,1,0.9899999999999999
16,59,6,0.3
16,79,1,0
16,23,8,0.3375
16,19,6,0.36600000000000005
16,0,6,0.6135
16,32,5,0
16,34,2,0.9
16,45,6,0.7454999999999999
16,22,1,0.9
16,75,5,0.18
16,49,6,0.282
16,12,4,0
16,55,1,0
16,89,1,0.9
16,16,3,0
16,39,7,0.11314285714285713
16,6,1,0.9
16,51,3,0.3
16,20,4,0
16,3,5,0.3186
16,73,2,0.198
16,35,8,0.18675
16,27,5,0.36
16,7,1,0.999
16,64,1,0.999
16,5,3,0.633
17,1,7,0.7277142857142856
17,44,4,0.19799999999999998
17,9,3,0.831
17,8,6,0
17,47,6,0.18300000000000002
17,50,3,0.831
17,97,1,0.999
17,17,5,0.999
17,60,6,0.11549999999999999
17,29,4,0.999
17,41,5,0.9576
17,2,2,0.999
17,18,4,0.97425
17,76,3,0.36600000000000005
17,13,1,0.29700000000000004
17,78,5,0.43920000000000003
17,11,5,0.0198
17,40,3,0.033
17,26,1,0.999
17,58,4,0.79875
17,21,2,0.4995
17,56,5,0.21960000000000002
17,57,1,0.198
17,82,3,0.6960000000000001
17,43,3,0.165
17,15,1,0.999
17,4,1,0.999
17,54,8,0.520875
17,14,1,0.9
17,59,6,0.333
17,79,1,0.099
17,23,8,0.387
17,19,6,0.432
17,0,4,0.7987500000000001
17,32,4,0
17,34,3,0.798
17,45,6,0.828
17,22,1,0.999
17,75,5,0.1998
17,49,6,0.33149999999999996
17,12,4,0.02475
17,55,1,0
17,89,2,0.747
17,16,4,0.2745
17,39,7,0.12728571428571428
17,6,1,0.999
17,51,4,0.4995
17,20,4,0
17,3,5,0.3384
17,67,1,0.594
17,73,2,0.297
17,35,8,0.09899999999999999
17,27,5,0.3996
17,7,1,0.9
17,64,1,0.9
17,5,3,0.36600000000000005
18,1,6,0.7665000000000001
18,44,3,0.26399999999999996
18,9,2,0.8955
18,8,6,0
18,47,6,0.18300000000000002
18,50,3,0.864
18,97,1,0.9
18,17,5,0.8802
18,60,6,0.1485
18,29,4,0.87525
18,41,5,0.8981999999999999
18,2,2,0.9
18,18,3,0.9
18,76,3,0.333
18,13,1,0.29700000000000004
18,78,5,0.4194
18,11,5,0.0396
18,40,2,0
18,26,1,0.9
18,58,4,0.774
18,21,2,0.45
18,56,5,0.21960000000000002
18,57,1,0.29700000000000004
18,82,4,0.5715
18,30,1,0.9
18,43,3,0.09900000000000002
18,15,1,0.9
18,4,1,0.9
18,54,8,0.5343749999999999
18,14,1,0.9
18,59,6,0.15
18,79,1,0.198
18,23,8,0.24975000000000003
18,19,5,0.4788
18,0,10,0.5787000000000001
18,32,5,0.1998
18,34,3,0.531
18,45,7,0.7251428571428572
18,22,1,0.9
18,75,5,0.18
18,49,6,0.33149999999999996
18,12,3,0
18,55,1,0.099
18,89,1,0.594
18,16,4,0.2745
18,39,7,0.15557142857142855
18,6,1,0.9
18,51,4,0.47475
18,20,4,0
18,3,4,0.44775
18,67,1,0.693
18,73,1,0.594
18,35,7,0.11314285714285713
18,27,5,0.18
18,7,1,0.999
18,64,2,0.7965
18,5,3,0.09900000000000002
19,1,8,0.7244999999999999
19,44,3,0.297
19,9,2,0.8955
19,8,6,0.0165
19,47,6,0.2325
19,50,3,0.8969999999999999
19,97,1,0.999
19,17,4,0.999
19,60,6,0.1815
19,29,3,0.999
19,41,5,0.9773999999999999
19,2,2,0.9495
19,18,3,0.999
19,76,3,0.399
19,13,1,0.29700000000000004
19,78,5,0.279
19,11,4,0
19,40,2,0
19,26,1,0.999
19,58,4,0.549
19,21,2,0.5985
19,56,4,0.24975
19,57,2,0.198
19,82,4,0.5445
19,30,1,0.999
19,43,3,0
19,15,1,0.999
19,4,1,0.999
19,54,8,0.471375
19,59,5,0.1998
19,23,7,0.2854285714285714
19,19,5,0.3384
19,0,15,0.45120000000000005
19,32,5,0.18
19,34,3,0.597
19,45,8,0.83475
19,22,1,0.9
19,75,5,0.21960000000000002
19,49,6,0.39749999999999996
19,12,3,0
19,55,1,0.198
19,89,1,0.693
19,16,4,0.24975
19,39,6,0.15
19,6,1,0.999
19,51,4,0.549
19,20,6,0.333
19,3,4,0.44775
19,67,1,0.7919999999999999
19,73,1,0.693
19,35,7,0.12728571428571428
19,27,5,0.1998
19,7,1,0.9
19,64,1,0.693
19,5,2,0.14850000000000002
20,1,8,0.675
20,44,3,0.32999999999999996
20,9,2,0.9944999999999999
20,8,6,0
20,47,5,0.19980000000000003
20,50,3,0.93
20,97,1,0.9
20,17,4,0.9
20,60,5,0.198
20,29,3,0.9
20,41,4,0.9
20,2,3,0.432
20,18,3,0.867
20,76,4,0.24975000000000003
20,13,2,0.648
20,78,5,0.01980000000000002
20,11,4,0
20,40,2,0
20,26,1,0.801
20,58,4,0.47475
20,21,1,0.9
20,56,4,0.225
20,57,2,0.4455
20,82,4,0.6187499999999999
20,30,1,0.9
20,43,3,0.033
20,15,1,0.9
20,4,2,0.6975
20,54,8,0.4725
20,38,1,0.396
20,59,5,0.18
20,23,7,0.2571428571428572
20,19,5,0.3384
20,0,16,0.4280624999999999
20,32,5,0.1998
20,34,3,0.26399999999999996
20,45,7,0.8974285714285715
20,75,4,0.225
20,49,6,0.432
20,12,3,0
20,89,2,0.846
20,16,5,0.3798
20,39,6,0.1665
20,6,1,0.9
20,51,4,0.29925
20,20,6,0.3495
20,3,4,0.24749999999999997
20,67,1,0.8909999999999999
20,73,1,0.7919999999999999
20,35,7,0.1414285714285714
20,27,5,0.1998
20,7,1,0.999
20,64,1,0.7919999999999999
20,5,2,0.198
21,1,8,0.612
21,44,3,0.333
21,9,2,0.9
21,8,6,0
21,47,6,0.333
21,50,3,0.963
21,97,1,0.999
21,17,4,0.999
21,60,5,0.2178
21,29,3,0.999
21,41,4,0.999
21,2,3,0.498
21,69,1,0.495
21,18,4,0.62325
21,76,4,0.20025
21,13,2,0.4995
21,78,6,0.06600000000000002
21,11,4,0.02475
21,40,2,0.0495
21,26,2,0.2475
21,58,4,0.24975
21,21,2,0.747
21,56,4,0.2745
21,57,2,0.5445
21,82,4,0.621
21,30,1,0.999
21,43,2,0.0495
21,15,1,0.999
21,4,2,0.7965
21,54,8,0.36000000000000004
21,38,1,0.495
21,59,5,0.21960000000000002
21,79,1,0.495
21,23,7,0.15685714285714286
21,19,5,0.19799999999999998
21,0,9,0.374
21,32,5,0.1998
21,34,3,0.297
21,45,7,0.8125714285714285
21,22,1,0.495
21,75,4,0.2745
21,49,6,0.465
21,12,3,0.033
21,89,2,0.945
21,16,5,0.3798
21,39,6,0.1665
21,6,1,0.999
21,51,3,0.033
21,20,5,0.39960000000000007
21,3,4,0.24975
21,67,1,0.9899999999999999
21,73,1,0.8909999999999999
21,35,8,0.237375
21,27,5,0.0396
21,7,2,0.648
21,64,1,0.8909999999999999
21,5,2,0.297
22,1,8,0.612
22,44,3,0.432
22,9,2,0.999
22,8,6,0
22,47,6,0.3825
22,50,3,0.9329999999999999
22,97,2,0.648
22,17,4,0.675
22,60,5,0.2394
22,29,3,0.6
22,41,4,0.9
22,2,3,0.498
22,69,1,0.594
22,18,4,0.5985
22,76,4,0.24975
22,13,2,0.45
22,78,6,0.09899999999999999
22,11,4,0.0495
22,40,2,0.099
22,26,2,0.297
22,58,4,0.225
22,21,2,0.6975
22,56,4,0.2745
22,57,2,0.594
22,82,4,0.44549999999999995
22,30,1,0.9
22,43,2,0.14850000000000002
22,15,1,0.9
22,4,2,0.7965
22,54,8,0.34875
22,38,1,0.594
22,59,6,0.132
22,79,1,0.594
22,23,8,0.2115
22,19,6,0.297
22,0,5,0.3960000000000001
